,pred,hypothesis,i-5,i-4,i-3,i-2,i-1,i,i+1,i+2,i+3,i+4,i+5
8889,,LOC,istuvad,täna,Farma,ja,Grindeksi,nõukogudes,.,Grindeksist,on,saanud,Farma
8890,,LOC,",",mille,naisteriiki,valitseb,mooride,nõukogu,ning,esipiigaks,on,kaunitar,Ulli
8891,,ORG,ning,heaks,oli,seda,pidanud,Estonia,operetilavastaja,Agu,Lüüdik,",",kelle
8892,,ORG,Kuuldavasti,tahetakse,see,võtta,“,Estonia,”,sügishooaja,avatükiks,.,Seda
8893,ORG,LOC,nagu,ameerika,seebiooper,.,YLE,Londoni,korrespondent,Erkki,Toivanen,haakus,mõttega
8894,,LOC,Kuid,Eesti,kokkulaenatud,kultuur,võis,nõukogude,globalismist,isegi,võita,.,Seda
8895,,LOC,vene,realism,",",mis,oli,nõukogude,rezhiimist,tingitud,ametlik,valitsev,teooria
8896,,LOC,Teisalt,",",nüüd,",",kus,nõukogude,võimu,survet,ei,eksisteeri,","
8897,ORG,LOC,.,Eric,Dickens,(,Briti,Holland,",",st,elab,Hollandis,","
8898,,LOC,aprillini,toimus,hotell,Olümpia,konverentsikeskuses,Balti,raamatumess,.,Tähtsaim,eestikeelne,raamat
8899,PER,LOC,tõlkija,on,kõrges,eas,Ita,Saks,.,Teil,võiks,ka,tulevikus
8900,,ORG,saab,",",kohtuvad,õilis,muinasjutukangelane,K,ja,tige,revolutsionäär,L. Tüdinud,oma
8901,,ORG,tõttab,toimekalt,uude,ellu,.,K,aga,ei,suuda,võlujõuliste,abilisteta
8902,,ORG,parandada,.,PEAMISELT,SS,',I,UURIMISELE,keskendudnud,autori,(,Butleri
8903,,ORG,",",MILLE,SISSE,SEE,TOBE,K,*,*,*,*,I
8904,,ORG,ja,Eizhens,Laube,),meie,Estonia,analoog,.,JUUGENDFASSAADIDELT,vaatab,meile
8905,,LOC,kuulsam,teos,on,pingviinide,bassein,Londoni,loomaaias,.,Katusekorterit,kasutas,Lubetkini
8906,,LOC,kirjastuse,avaldatud,mahukas,teoses,“,Londoni,interjöörid,”,.,Arvukatele,uudistajatele
8907,,ORG,.,R,.,R,.,I,.,O,.,jt,)
8908,PER,LOC,Valeri,Ojamäe,.,Teda,süüdistati,Briti,ja,Eesti,salateenistuste,heaks,spioneerimises
8909,,LOC,sõitis,eelmisel,nädalal,uurija,loal,Londonisse,",",kuid,kavatseb,enda,sõnul
8910,PER,LOC,põlluministeeriumiga,.,ELFi,metsaspetsialist,Rainer,Kuuba,ütleb,",",et,“,mõistlikult
8911,,LOC,Kui,praegu,kestaks,veel,õnnis,nõukogude,aeg,",",oleks,Sander,Vaikma
8912,,ORG,",",mitte,vaeste,laste,konfiskeerimist,EE,nr,13,Peeter,Kreitzberg,:
8913,,ORG,KREITZBERG,presidendikandidaat,Kultuurituse,pealetungi,vastu,EE,nr,14,Isade,mäss,Ütlen
8914,,ORG,näitleja,ja,teoloog,Natsiajalugu,edasijõudnutele,EE,nr,17,Natsiajalugu,algajatele,Et
8915,,ORG,.,ILMAR,KääRMA,Lihtsalt,rumal,EE,nr,17,Keegi,ei,tea
8916,,ORG,MONIKA,VALM,Teistsugune,pole,halb,EE,nr,17,“,Ussid,”
8917,,ORG,.,MADLI,ZOBEL,Veel,nahavärvist,EE,nr,17,Rohkem,empaatiat,ja
8918,,LOC,-,Narva,Elektrijaamade,ja,66%,Eesti,Raudtee,aktsiate,erastamine,-,liiga
8919,,ORG,Täitsa,segamini,pööras,jõuvahekorrad,aga,Hoiupanga,noorte,juhtide,kolme,aasta,tagune
8920,ORG,PER,",",keda,Hoiupanga,pealik,Olari,Taal,nimetas,kunagi,“,taidluskollektiiviks,”
8921,,LOC,papleid,Eestis,.,Pappel,oli,nõukogude,propagandapuu,.,Ta,kasvas,meeletu
8922,,LOC,kiirusega,ja,oli,vähenõudlik,nagu,nõukogude,inimene,isegi,.,Soovitustes,","
8923,,LOC,tema,meelest,kohe,üldse,.,Mustamäelt,ja,Õismäelt,papleid,palju,ei
8924,,LOC,",",mis,võib,transportida,reisijad,Londonist,New,Yorki,kõigest,40,minutiga
8925,,PER,allkirju,petitsioonile,“,Save,the,Mart,”,",",mis,nõuab,mustade
8926,,PER,Sarnet,aastate,pikkuse,punnitamisega,.,Sarnet,tahtis,hoida,erastamist,oma,mõjuväljas
8927,PER,ORG,sel,hetkel,veel,tõsine,konkurent,Isamaa,liidri,kohale,",",ja,Ardo
8928,PER,ORG,loomise,eestvedajaks,.,Konkurendid,Rail,Estoniast,",",Orrisoni,juurest,",",nimetavad
8929,,LOC,Kokk,aavo.kokk@ekspress.ee,Eelmisel,nädalal,oli,Londonis,Hiltoni,hotellis,Euroopa,Rekonstruktsiooni-,ja
8930,ORG,LOC,.,Herbert,Stepic,Raiffesen,Zentralbank,Austria,juhatuse,esimees,RZB,on,Austria
8931,,LOC,Lewise,järel,teise,kõrgeimalt,tasustatud,Briti,sporditähe,ning,ta,läheb,mitme
8932,,LOC,”,ja,Britteni,“,Surm,Veneetsias,”,.,Ei,ole,väga
8933,ORG,LOC,tagasi,Gidon,Kremeri,festivalil,Lockenhausis,Austrias,oli,mul,nii-öelda,kohtumine,publikuga
8934,,ORG,Norras,.,Eestis,Dmitri,Hartshenko,Estonias,“,Passiooni,”,peale,.
8935,,ORG,"1,7",protsenti,.,“,Esto,TV,”,ja,“,Wremja,”
8936,,PER,mõistate,eelmainitud,laule,paremini,.,Anne,muusikakriitik,Toomas,Mikkor,õpetab,uut
8937,PER,ORG,jäädvustamas,ka,rahvusvahelise,moetelevisiooni,Fashion,TV,võttegrupp,.,29.,aprillil,kell
8938,,ORG,kolme,albumi,singlilugusid,nagu,“,I,Guess,”,",",“,Astronout
8939,,LOC,üliõpilased,:,kolm,tudengit,igast,Balti,riigist,ja,Poolast,.,Eestit
8940,,ORG,muidugi,ainult,draamapoolest,),.,Vanemuist,rõhub,135,aasta,raskus,","
8941,,ORG,väga,võimsat,tööd,teinud,.,Vanemuisesse,tulnud,noored,on,tõesti,leidnud
8942,,ORG,Konkreetsete,lavastuste,juurde,tulles,",",Vanemuise,viimase,hiti,“,Meistri,ja
8943,,ORG,on,see,isegi,kuritegu,.,Vanemuise,plaanid,2001,:,Uued,lavastused
8944,PER,LOC,ootamatu,tõe,:,',',Tartu,on,ainuke,linn,Eestis,","
8945,PER,LOC,kõrvalhüppeid,vormistanud,",",siis,Sandra,Jõgevalt,on,kõrvalehüppele,leidlik,parafraas,-
8946,,LOC,.,Valgus,(,“,Avatud,Eesti,Raamat,”,),.,Tallinn
8947,,LOC,Hortus,Litterarum,(,“,Avatud,Eesti,Raamat,”,),.,Tallinn
8948,ORG,LOC,kõnekujundid,Tädi,Maalist,ja,Eesti,Nokiast,ning,voolib,üha,uusi,konspiratsiooniskeeme
8949,,ORG,kontseptsiooni,võistlusel,",",sügis,2000,I,ostupreemia,Tartu,Ökomaja,arhitektuurivõistlusel,","
8950,,ORG,suusakeskuse,arhitektuurivõistlusel,",",kevad,1998,I,preemia,(,ainult,Tomiste,)
8951,,LOC,vanast,loost,“,Life,On,Mars,?,”,.,Nõnda,saime
8952,,ORG,et,arvaku,ära,.,“,Ee,...,võib-olla,Rammstein,.,”
8953,,LOC,tuleb,lisaks,autoritasule,maksta,ka,Hollywoodi,copyright'i,",",”,ütles,Eesti
8954,,ORG,kohta,saadab,isa,ise,.,EE,avaldab,Gräzini,teate,muutmata,kujul
8955,PER,ORG,mänguaega,rohkem,jaguma,.,Ja,EM,on,klubisarjades,mittemängiva,maa,pallurite
8956,,PER,ja,koos,aega,veedavad,.,Taneli,kõige,lähedasemad,sõbrad,on,siiski
8957,,ORG,GUSTAV,KüTT,Kahe,otsaga,asi,EE,nr,18,Aktiivse,kirjanduse,kiituseks
8958,,ORG,LUULE,GERASSIMOV,Algusest,lõpuni,vale,EE,nr,18,Natsiajalugu,edasijõudnutele,Lugesin
8959,,ORG,ABRAMSON,Tahaks,selles,linnas,elada,EE,nr,18,Linnaruum,on,elutoa
8960,,ORG,JANA,OJALO,Maksuameti,koolitusosakonna,juht,Ee,...,nimi,tuleb,tuttav,ette
8961,,ORG,',ve,gone,/,but,I,',ll,have,to,carry
8962,,ORG,nimi,lõpeb,mitmusega,(,-,I,või -e,),",",on,tegu
8963,,LOC,esimehe,kohalt,sügisel,1998.,Panga,nõukogu,eestlastest,liikmed,ei,saanud,tookord
8964,ORG,PER,",",miks,uus,suuromanik,Swedbank,Mõisa,väljavahetamist,nõuab,.,Mõis,oli
8965,,PER,oma,osast,”,.,Pärast,Tiidust,lahkukolimist,sõbrustas,Aunaste,kütuseärimees,Aivar
8966,,ORG,lootusetuna,maha,.,Siinkohal,pani,maksuamet,oma,jala,ukse,vahele,ning
8967,PER,LOC,riigiakadeemia,koolitusega,kriminalistikadoktor,Peter,W. Pfefferli,SHveitsist,on,Interpoli,vaidlustatud,dokumentide,analüüsi
8968,PER,LOC,on,skandaal,",",”,võtab,Taani,ekspert,Per,F. Andersen,kokku,oma
8969,PER,ORG,Aru,söödab,koos,abikaasa,Liidiaga,Kadriorus,tuvisid,.,Foto,aastast,1992.
8970,,LOC,ka,arutlusi,genotsiidist,",",millest,nõukogude,ajal,rääkida,ei,oleks,saanud
8971,,LOC,See,on,konfidentsiaalne,.,Firma,nõukogu,lubab,sel,aastal,kulutada,20
8972,,LOC,Telefoni,juhatuse,",",Eesti,Telefoni,nõukogu,",",seejärel,Eesti,Telekomi,nõukogu
8973,,LOC,nõukogu,",",seejärel,Eesti,Telekomi,nõukogu,.,Intergate'is,võtab,otsustamine,aega
8974,,ORG,olen,mina,?,”,“,Ee,...,jah,.,Ega,sa
8975,,LOC,õigused,!,”,“,Vabadus,nõukogude,armee,kangelastele,!,”,“
8976,,LOC,koolis,ja,ülikoolis,.,Oli,nõukogude,ajal,dissidentliku,ajakirja,Kolmas,Modernisatsioon
8977,PER,LOC,Lätlased,lasid,end,lõdvaks,.,Riia,aimas,oma,eksitust,samal,päeval
8978,,LOC,Aga,ega,ma,ei,mäleta,nõukogude,ajastki,",",et,oleks,kohanud
8979,PER,LOC,alati,väga,tegusad,.,“,Riia,on,vanast,ajast,olnud,vene
8980,,LOC,Leedu,kritiseerijaid,Venemaal,.,Piketid,Balti,saatkondade,ees,on,üldjuhul,natsionaalbolshevike
8981,,LOC,BARBIE-TüüPI,ELUSOLENDEID,ON,TOOTNUD,ennekõike,Hollywood,.,Barbie's,on,ühe,kultuurikriitiku
8982,,ORG,the,hell,of,starvation,.,I,don't,know,what,they,mean
8983,LOC,ORG,Donaldi,koomiksit,.,Eestis,ilmub,Päevalehes,kuni,1940.,aasta,suve,lõpuni
8984,,LOC,proua,Rawling,üks,tuhandetest,vaestest,Briti,üksikemadest,",",kes,võis,Galapagosest
8985,,LOC,“,Raoul,Wallenberg,”,.,Saksa,keelest,tõlkinud,Kaire,Kiviselg,.
8986,,LOC,ka,toosama,kalendermärkmik,",",mis,nõukogude,luure-,ja,repressiivtalitustele,teavitab,","
8987,,LOC,küll,võiks,kuuluda,?,Vaid,nõukogude,ajakirjanduses,oli,selliseid,fakti,","
8988,PER,LOC,Mis,see,on,?,Uus,Jeruusalemm,?,Alternatiivne,maailm,?,Kummal
8989,,LOC,taguseid,lugusid,Ameerika,metalbändidelt,.,Hollywoodi,filmimuusikaplaadid,on,teada,",",paar-kolm
8990,,LOC,See,oli,kas,“,Maha,nõukogude,võim,!,”,või,“
8991,,LOC,!,”,või,“,Surm,nõukogude,võimule,!,“,",",”
8992,ORG,LOC,ja,kokku,leppinud,OÜ,Vana,Tallinna,restaureerijatega,",",kes,teevad,“
8993,,ORG,EE,nr,18,Natsiajalugu,edasijõudnutele,EE,nr,19,Algusest,lõpuni,vale
8994,,ORG,jt.,ILMAR,KääRMA,Tõsine,asi,EE,nr,17,SHerif,Bill,ja
8995,,ORG,Hea,majandus,",",vaesed,inimesed,EE,nr,19,Rohkem,optimismi,Hr
8996,,ORG,aga,kõht,on,tühi,.,K,.,T,.,Rapla,Ajaloo
8997,,ORG,VALTER,Sauelt,Olen,ka,Kosmosemutt,EE,nr,19,Kosmosemutid,on,elus
8998,,ORG,.,JUULA,Aeg,on,käes,EE,nr,19,Gay'd,ja,estraad
8999,,ORG,esinemise,kohta,kirjutab,nüüd,“,Päevalehe,”,arvustaja,vaimustatult,:,“
9000,PER,LOC,.,Ta,on,rahvastikuminister,Katrin,Saksa,poliitiline,nõunik,ehk,juhe,.
9001,,ORG,ihaldab,.,Sulev,Vedler,sulev@ekspress.ee,Ekspress,kohtub,Michael,Schumacheriga,Stüüria,Alpides
9002,,LOC,Ta,tahab,maailmale,näidata,inetut,nõukogude,pärandit,",",vastandades,seda,magusale
9003,,LOC,omi,kui,teiste,laule,.,Vene,ajal,välja,antud,Whitney,Houstoni
9004,,LOC,Lugu,on,esitatud,mustvalgelt,nagu,nõukogude,sõjafilmis,-,ühel,pool,noor
9005,,LOC,",",kui,Thorwald,tappis,kaks,nõukogude,snaiprit,",",algaski,tema,mitu
9006,,LOC,“,Kas,teater,",",võrreldes,Nõukogude,ajaga,",",muutunud,on,?
9007,,LOC,Anssi,.,Kõik,pärissoomlased,.,Nõukogus,kohtab,ka,välismaalasi,ja,Soome
9008,ORG,LOC,Täna,töötavad,Nokia,ja,Radiolinja,Eesti,koos,mobiiliasukoha,määramise,pilootprojekti,mCatch
9009,PER,ORG,odav,sportauto,(,nagu,Golf,I,tehnika,sai,aluseks,Sciroccole,)
9010,,LOC,Soomes,",",mängis,teleseriaalis,“,Siberi,taibu,”,.,Nüüd,on
9011,,LOC,muusikaline,maitse,",",me,käisime,Londonis,Massive,Attacki,kontserdil,",",ei
9012,PER,ORG,konverentsid,“,Place,and,Location,I,",",II,”,(,vastavalt
9013,,PER,fotograafist,peategelases,kui,Gailiti,“,Toomas,Nipernaadis,”,.,Ihaleja,on
9014,ORG,PER,libiido,Franzile,",",pärast,Franzi,Annale,.,MIDA,AGA,PEALE,HAKATA
9015,LOC,PER,",",Franzis,",",Veras,ja,Annas,",",sõltuvussuhte,enese,vastu,.
9016,ORG,LOC,lasteporno,levitamises,),",",Briti,Nõukogu,on,solvunud,(,nende,logo
9017,,LOC,on,kahtlemata,simulatsioon,",",Briti,nõukogu,logo,kasutamine,on,simulatsioon,","
9018,ORG,LOC,vaja,Tallinnas,osatada,Hansapanka,või,Briti,nõukogu,.,Samas,oli,viide
9019,,LOC,Tallinnas,osatada,Hansapanka,või,Briti,nõukogu,.,Samas,oli,viide,Inglismaale
9020,,LOC,British,Art,”,.,Kirjutavad,Londonis,elav,Mare,Tralla,ning,näituse
9021,,LOC,monotoonset,minutit,.,Tegelased,“,Balti,ketist,”,rassimas,edukultuse,tões
9022,PER,ORG,.,Istume,Andersi,ja,Kärdiga,Kadrioru,lossi,Lilleaias,pingil,ja,vaatame
9023,,LOC,),.,Sõjakaid,loosungeid,ja,nõukogude,sümboolikat,kaunistasid,sageli,suurejoonelised,lillekimbud
9024,ORG,LOC,oli,see,esindamas,NSV,Liidu,Londonis,toimuval,näitusel,vene,revolutsioonilist,portselani
9025,,ORG,aasta,aega,assistendiks,oli,.,Estonias,on,Priit,Ruttas,teinud,ka
9026,LOC,ORG,ei,tohi,Mai,Murdmaa,enam,Estonias,lavastada,(,see,on,kollase
9027,,LOC,ennast,",",teatrijuhte,ja,rahvusooperi,nõukogu,.,Katsugu,nad,mitte,vastata
9028,,ORG,Comatose,”,ja,paaniline,“,I,Feel,Loved,”,.,Usust
9029,,ORG,RAUDSEPP,Erinevad,esitajad,“,Fashion,TV,:,Spring-Summer,2001,Collection,”
9030,,LOC,",",kui,sai,teoks,kolme,Hollandi,DJ,külaskäik,Eestisse,.,Enne
9031,LOC,PER,magama,.,Järgmine,päev,nägin,Wiiralti,ees,Saaremetsa,ja,Poskat,","
9032,,LOC,.,Oma,masterplan'is,katab,ta,Balti,jaama,territooriumi,katusega,.,Suunab
9033,,LOC,raha,õigeaegseks,laekumiseks,.,Rajas,Nõmmele,mitu,tööstust,",",mis,kiiresti
9034,,LOC,vaid,kümmekond,minutit,.,-,Vene,ajast,kohati,katastroofiline,keskkonnaseisund,","
9035,,LOC,ekstremistliku,rühmituse,MRP-AEG,”,",",nõukogude,aktiivi,ja,teiste,kohalviibijate,vaheliseks
9036,,LOC,9.,mai,2001,Avaliku,Sõna,Nõukogu,arutas,Riigikogu,liikme,Peeter,Kreitzbergi
9037,,ORG,URMAS,LOIT,esimees,Jälle,rassism,EE,nr,20,Tanel,rokib,täiega
9038,,PER,Jälle,rassism,EE,nr,20,Tanel,rokib,täiega,Olen,üllatunud,17.
9039,,ORG,.,TIIT,MARAN,Uus,kool,EE,nr,18,Teistsugune,pole,halb
9040,,ORG,KüLLI,PäRTELSON,Lastud,vares,vapilinnuks,EE,nr,20,Uut,verd,Eesti
9041,ORG,PER,on,nende,eesnimed,Bill,(,Clinton,),ja,Jimmy,(,Carter
9042,ORG,LOC,keeldub,praegu,Eesti,suursaadikuna,Euroopa,Nõukogu,juures,töötav,Ants,Frosch,oma
9043,ORG,LOC,kaasa,aidanud,",",”,teab,Tallinna,volikogu,liige,Pikaro,rääkida,.
9044,ORG,LOC,Austria,Tabak,(,praegu,Tobaccoland,Eesti,),.,Kolesnikov,ja,tema
9045,PER,LOC,aeg,tagasi,käis,siin,Coca-Cola,Austria,haru,üks,juhtivaid,tegelasi,","
9046,,LOC,kandnud,vilja,.,Arvud,on,Atlantale,tähtsad,",",mitte,see,","
9047,,LOC,ära,sööma,mine,Coca-Cola,sööklas,Mustamäel,on,odavad,ja,head,söögid
9048,,LOC,hõlvamine,enne,sovette,.,Võimaliku,Nõukogude,kuubaasi,loomist,peeti,strateegilises,mõttes
9049,PER,LOC,mail,1801,kutsuti,admiral,Parker,Inglismaale,tagasi,ja,laevastiku,ülemjuhatajaks,määrati
9050,PER,ORG,ning,paluda,tema,eelkäija,Paul,I,poolt,arestitud,laevade,ja,interneeritud
9051,PER,LOC,mingil,juhul,enne,",",kui,Briti,eskaader,on,silmist,kadunud,.
9052,,LOC,kirjutas,energiliselt,vastu,:,“,Briti,admirali,ausõna,on,sama,püha
9053,,LOC,lõpuks,",",küsimuseni,",",kuivõrd,nõukogude,julgeolekuorganite,juurdlustoimikuid,usaldada,saab,.
9054,ORG,LOC,15.,juulil,1948.,a,RJMi,Kuressaare,osakonda,andma,tunnistusi,36.,politseipataljoni
9055,,LOC,korterit,teiste,asukatega,.,Erinevalt,nõukogude,ajast,",",mil,inimesi,sunniviisil
9056,,LOC,ka,mingit,põhjust,.,Ainult,nõukogu,oleks,saanud,Lepa,ajal,alanud
9057,,LOC,ühiskonnategelane,Paul-Eerik,Rummo,",",kes,nõukogu,pikka,aega,juhtis,",",ei
9058,,ORG,vaikselt,edasi,.,Suuri,staare,ETV-sse,järele,jäänud,ei,ole,.
9059,,PER,mille,on,sõlminud,Hans,Moon,Hans,Mooniga,",",”,ütleb,Pukk
9060,,LOC,3.,mai,1999,-,Wenestori,nõukogu,alustab,5miljonilise,investeeringu,saamise,korraldamist
9061,,LOC,Otsusele,on,alla,kirjutanud,Wenestori,nõukogu,esimees,Ülo,Pärnits,.,-
9062,,ORG,pääsemise,võimalusi,.,Tänavu,osaleb,MMil,21,meeskonda,",",igaühes,kaks
9063,,ORG,21,aastat,.,Tuleva,aasta,MMile,pääseb,vaid,17,parimat,tiimi
9064,,LOC,",",kui,te,viitsite,minna,Balti,jaama,või,muudesse,kohtadesse,","
9065,,PER,valo,pimeään,Anna,mulle,aamurusko,Anna,usko,elämään,Nii,laulis,Katri
9066,PER,LOC,Austriast,1938,Inglismaale,emigreerunud,Freudi,Londoni,korteri,söögitoas,",",mida,psühhoanalüütik
9067,,LOC,aastast,muuseum,.,Freudi,kuulsat,Londoni,korteri,diivanit,on,plaanis,eksponeerida
9068,,PER,lavastus,Kadrioru,lossis,.,Olin,Undi,lavateksti,juba,lugenud,",",kui
9069,PER,ORG,me,prantslasest,väimehega,Rodolpho,Laffranque'iga,Kadrioru,poole,sammusime,.,Ta,küsis
9070,,LOC,Wagnerist,mõeldes,esikohale,.,“,Saksa,hinge,”,tugevdamise,ja,võõrast
9071,,PER,rõõmsat,elevust,",",olles,pärast,Tuglase,lühikest,kirjanduslugu,(,1936,)
9072,PER,LOC,tore,on,",",aga,Ita,Saks,",",Rein,Saluri,ja,Valentin
9073,,LOC,kontseptuaalsed,kirjanduslood,ilmusid,ju,ka,Vene,ajal,.,Sõgel,ja,Stalin
9074,,LOC,“,The,Altogether,”,(,London,Records,),Päevil,",",mil
9075,,PER,",",kas,surnud,või,elusa,Jeesuse,poole,?,Ma,ei,mõelnud
9076,,LOC,vajadusega,Eestis,nagu,ka,teistes,Balti,riikides,",",kus,ostujõud,on
9077,LOC,ORG,firma,endisi,töötajaid,",",kes,Ekspressis,soovisid,anonüümselt,esineda,",",pöörduma
9078,,LOC,on,kolm,:,“,Maha,nõukogude,võim,”,",",“,Tiblad
9079,,ORG,Ameti,juhataja,asetäitja,Jalustrabav,info,EE,nr,20,Faktid,kõnelevad,muud
9080,PER,LOC,finantseerimiseks,kuni,tänapäevani,.,ELHONEN,SAKS,Ülbed,Tallinna,literaadid,EE,nr
9081,,ORG,ELHONEN,SAKS,Ülbed,Tallinna,literaadid,EE,nr,21,Kontseptsioon,kui,erakond
9082,,ORG,VAHER,Rohkem,Fred,Jüssisid,!,EE,nr,21,Fredjüssisid,oodates,Oman
9083,,ORG,GILLEKE,KOPAMEES,Lõpuks,ometi,!,EE,nr,20,Härrassots,",",töölise
9084,ORG,LOC,",",”,on,aga,Hansapank,Eesti,peadirektor,Andres,Liinat,veendunud,.
9085,ORG,LOC,Merimetsa,ja,Hooldushaigla,Tallinnas,",",Keila,",",Rakvere,ja,Hiiumaa,haigla
9086,,LOC,Vastavalt,imporditakse,tehnika,ja,telemeeskond,Hollandi,mänguks,hoopis,Soomest,ja,Iiri
9087,,LOC,pool,“,rindejoont,”,-,nõukogude,ajal,töötas,ta,Tallinna,prokuratuuris
9088,,LOC,",",kuhu,hiljuti,ehitati,vangla,Nõukogude,keemiarelvade,endisele,katsealale,.,Möödunud
9089,PER,LOC,vastiku,hingeõhuga,kutt,annab,mulle,Paldiski,linnaplatsil,keset,Vene,megabändi,Agata
9090,PER,LOC,seal,esmapilgul,nagu,midagi,.,Paldiski,ongi,selline,kummaliselt,tühi,ja
9091,PER,LOC,pluss,paarsada,kutsutut,.,“,Paldiski,kontserdi,mõte,oli,muidugi,laiem
9092,,ORG,olümpiaregatiks,ning,kõige,viimane,üheksakümnendatel,Hoiupanga,juhi,Olari,Taali,tähtpäevaks,.
9093,,ORG,palkasid,sinna,tööle,tookordse,miss,Estonia,.,Rahvast,käis,nagu,murdu
9094,,LOC,ise,soovitasid,:,“,Sõitke,Taani,.,”,Paljude,saksa,segaabielude
9095,ORG,LOC,pole,vigagi,.,Treeningmängus,tegi,Holland,8,:,0,ära,nagu
9096,,LOC,-,Linkoili,ja,BaltTransService'i,direktorite,nõukogusse,.,Need,on,firmad,","
9097,,LOC,Aserbaidzhaani,ülikooli,.,“,Tollane,nõukogude,elu,oli,õigupoolest,see,sild
9098,,LOC,ja,hiljaaegu,näidendi,“,Rapla,Brüsseliks,”,.,“,Ma,esinen
9099,ORG,PER,avaldas,ta,põneva,“,Rummu,Jüri,mälestused,”,(,1996,)
9100,,LOC,neid,",",kes,töötanud,mõnes,nõukogude,riigiasutuses,?,Ning,lõpuks,:
9101,,ORG,peaesineja,J,.,M,.,K,.,E,.,",",tuntumatest
9102,,ORG,",",K,.,A,.,K,.K-id,(,Kõikide,Asjade,Kirjapaneku
9103,,ORG,K,.,A,.,K,.K-id,(,Kõikide,Asjade,Kirjapaneku,Koht
9104,,LOC,Tõlkinud,Udo,Uibo,.,Avatud,Eesti,Raamat,.,Kirjastus,Vagabund,","
9105,PER,ORG,jänest,.,Putini,eeskuju,Peeter,I,juurutas,Venemaal,edukalt,imporditud,ideid
9106,,LOC,mentaliteeti,.,KGB-lased,pidasid,end,nõukogude,korra,garantiimehikesteks,.,Vennaskond,uskus
9107,PER,ORG,põhimõttel,.,Need,rajas,Peeter,I,kubermangude,loomisega,1708.,aastal,.
9108,PER,ORG,võimu,piiramist,.,Kui,Peeter,I,alustas,kaheksast,kubermangust,",",siis
9109,,LOC,sündmused,arenevad,.,Tsarism,ja,nõukogude,võim,olid,ootamatult,sarnased,.
9110,PER,LOC,parajasti,Venemaad,okupeeris,.,Ivan,Groznõi,ajast,16.,sajandi,lõpul,peab
9111,,ORG,põneva,südame,.,Kuid,-,I,',m,sorry,Ms,Jackson
9112,ORG,PER,I,',m,sorry,Ms,Jackson,-,need,on,ka,ainsad
9113,,LOC,pooleteise,aasta,tagusest,plaanist,laiutada,Balti,turul,ning,viia,Ösel,Tallinna
9114,,PER,aktsiatest,.,“,Ja,Olari,Taalil,oleks,lihtsalt,ebamugav,Tartusse,tööle
9115,,LOC,maitse,",",nagu,oli,(,nõukogude,ajal,),müügil,neis,kollastes
9116,PER,ORG,sai,maailma,esimeseks,miljardäriks,.,Ekspressi,arvutuste,kohaselt,võinuks,Ösel,tookord
9117,PER,ORG,käinuks,Öselil,üle,jõu,.,Ekspress,lisab,",",et,teise,poole
9118,,ORG,AIGI,SARAPU,Rohkem,süvenemist,!,EE,nr,22,Kõige,põduramate,klientidega
9119,,ORG,TõNU,TUULAS,vandeadvokaat,Elu,headusest,EE,artiklisari,“,Hea,elu,”
9120,PER,LOC,teha,.,MARIS,KERGE,Hull,Eesti,EE,nr,22,Eestlane,on
9121,,ORG,.,MARIS,KERGE,Hull,Eesti,EE,nr,22,Eestlane,on,lati
9122,,ORG,vist,psühhiaatri,poole,pöörduma,?,K,.,T,.,Lennukad,fantaasiad
9123,,ORG,.,T,.,Lennukad,fantaasiad,EE,nr,23,Kogu,tõde,impeeriumi
9124,,LOC,see,oli,",",kui,Eesti,Nõukogude,Sotsialistlikus,Vabariigis,kehtis,peale,eesti
9125,,ORG,nimel,?,Ka,seesama,“,Estonia,”,postmarkidel,on,samasugune,enesealandamine
9126,,ORG,ja,seetõttu,loobuda,lömitavast,“,Estoniast,”,postmargil,-,riigi,visiitkaardil
9127,,LOC,firmad,müüvad,Eestis,ainsana,õiget,Riia,Sovetskoje,shampust,.,Tema,toob
9128,,LOC,",",mida,inimesed,üldse,mäletavad,nõukogude,ajast,.,Nii,selguski,","
9129,,LOC,.,Salapärase,Järve,Bussipargi,kaks,nõukogu,liiget,on,aga,Rein,Vaks
9130,LOC,ORG,.,),Vargad,tulevad,tagasi,Kadriorus,asuvat,kullerteenusefirma,kontorit,piirasid,vargad
9131,,LOC,välja,Moskva,ja,Ida-Berliinis,paiknevate,Nõukogude,vägede,staabi,vahelisele,sidekaablini,.
9132,,LOC,muuseumi,Moskvas,.,Tallinnas,kulgenud,nõukogude,valitsusside,kaableid,kaitsti,esiteks,neisse
9133,,ORG,.,Mai,Murdmaa,(,senine,Estonia,balletijuht,),:,Ta,oli
9134,,LOC,Norra,Kuninglik,Ooper,),.,Nõukogu,käis,neli,korda,(,st
9135,ORG,LOC,suured,palgiveoautod,",",mis,puitu,Pärnu,sadamasse,veavad,.,Lisaks,sorteerimismasinale
9136,PER,LOC,ülesandeks,on,avalikkusega,suhtlemine,Cleargreeni,Mehhiko,tütarettevõttes,Verdeclaro,.,Ta,püüdnud
9137,,LOC,koju,”,",",“,Maha,nõukogude,võim,”,",",“,Venelased
9138,,LOC,koju,”,ja,“,Maha,nõukogude,võim,”,.,Kodumajale,kirjutas
9139,,LOC,”,”,Koduteel,meenusid,mingid,nõukogude,detektiivilood,",",kus,üleskutseid,ikka
